Category: All categories

Region,COVID-19 vaccine: (6/17/20 - 6/17/21),Economy: (6/17/20 - 6/17/21),Unemployment: (6/17/20 - 6/17/21)
Nevada,21%,2%,77%
New Jersey,36%,2%,62%
Ohio,29%,2%,69%
Kentucky,24%,3%,73%
Alabama,21%,3%,76%
Michigan,27%,3%,70%
New York,34%,3%,63%
New Mexico,23%,4%,73%
Pennsylvania,37%,2%,61%
Hawaii,30%,4%,66%
Indiana,26%,4%,70%
Washington,35%,3%,62%
Mississippi,24%,4%,72%
Oregon,34%,3%,63%
Louisiana,21%,4%,75%
Maryland,38%,4%,58%
South Carolina,27%,4%,69%
Wisconsin,31%,3%,66%
Rhode Island,39%,3%,58%
District of Columbia,35%,7%,58%
Connecticut,43%,3%,54%
Massachusetts,44%,3%,53%
New Hampshire,37%,3%,60%
Oklahoma,27%,4%,69%
West Virginia,31%,4%,65%
Minnesota,37%,4%,59%
Georgia,32%,6%,62%
Arizona,39%,4%,57%
North Carolina,34%,5%,61%
Missouri,36%,4%,60%
Vermont,45%,5%,50%
Delaware,51%,4%,45%
Kansas,35%,5%,60%
Tennessee,35%,5%,60%
Maine,46%,4%,50%
Florida,46%,5%,49%
Texas,42%,6%,52%
Arkansas,33%,6%,61%
Iowa,44%,4%,52%
Alaska,40%,5%,55%
Illinois,51%,5%,44%
Montana,37%,5%,58%
Colorado,50%,5%,45%
Virginia,49%,6%,45%
California,50%,7%,43%
North Dakota,34%,7%,59%
Idaho,40%,6%,54%
Wyoming,35%,7%,58%
Utah,55%,8%,37%
Nebraska,52%,7%,41%
South Dakota,51%,7%,42%
